image_path,predicted_score
"data/processed/wikimedia_commons/images/DE/ns6/1635/File:Treuchtlingen, Stadtschloss v SO, 3.jpeg",2.8087044
"data/processed/wikimedia_commons/images/ES/ns6/1181/File:Church of San Miguel, Catarroja 04.jpeg",2.8474896
"data/processed/wikimedia_commons/images/FR/ns6/28558/File:Hôtel de Ville (ancien), dit Le Beffroi - Vue d'ensemble - Dreux - Médiathèque de l'architecture et du patrimoine - APMH00001046.jpeg",2.7488904
data/processed/wikimedia_commons/images/FR/ns6/33534/File:Pont Notre Dame - Paris IV (FR75) - 2021-06-17 - 1.jpeg,2.1885288
data/processed/wikimedia_commons/images/BE/ns6/802/File:Antwerpen Balansstraat 147 hoek - 140176 - onroerenderfgoed.jpeg,2.4695053
data/processed/wikimedia_commons/images/LT/ns6/114/File:6th Fort of the Kaunas Fortress.04.jpeg,2.2851682
data/processed/wikimedia_commons/images/PL/ns6/2420/File:Ruda Śląska Piastowska Biedronka 21 08 2011 P8219078.jpeg,2.405898
data/processed/wikimedia_commons/images/LV/ns6/129/File:Грузовой поезд train de marchandises kravas vilciens - Bontrager - Panoramio.jpeg,2.5328302
data/processed/wikimedia_commons/images/DE/ns6/669/File:Dezemberschnee an der Münchner Isar 10.jpeg,2.789838
data/processed/wikimedia_commons/images/NL/ns6/1499/File:Beveren Kieldrecht Gemenestraat 7 - 253906 - onroerenderfgoed.jpeg,2.921114
data/processed/wikimedia_commons/images/FR/ns6/3645/File:Catedral de Sant Pere de Montpeller - 06.jpeg,2.7464366
data/processed/wikimedia_commons/images/HU/ns6/444/File:Szécsény011.jpeg,2.525738
"data/processed/wikimedia_commons/images/CZ/ns6/473/File:Bridge over the Stařečský potok near Jan Mill in Libuše Valley in Třebíč, Třebíč District.jpeg",2.9307814
data/processed/wikimedia_commons/images/AT/ns6/97/File:Sankt Paul Benediktinerstift Stiftsgebaeude SW-Ecke 19052015 3868.jpeg,2.626999
data/processed/wikimedia_commons/images/DE/ns6/1873/File:Bammental - Raiffeisen Markt 2014-10-18.jpeg,2.1195068
data/processed/wikimedia_commons/images/NL/ns6/1489/File:Graaf Jansdijk 485 - 15688 - onroerenderfgoed.jpeg,2.3894281
data/processed/wikimedia_commons/images/DE/ns6/181/File:Batschen Wirtschaft - panoramio.jpeg,2.6855042
data/processed/wikimedia_commons/images/NL/ns6/837/File:HUA-169087-Afbeelding van de aanleg van een tijdelijke bouwplaats voor het aannemersbedrijf Fa. P.C. Zanen N.V. ten behoeve van de aanleg van Rijksweg 1 langs de spoorlijn te Stroe.jpeg,2.417759
data/processed/wikimedia_commons/images/FR/ns6/23072/File:Le centre de st meen le grand - panoramio.jpeg,2.3030052
"data/processed/wikimedia_commons/images/IT/ns6/337/File:84048 Ogliastro Marina, Province of Salerno, Italy - panoramio.jpeg",2.8609622
data/processed/wikimedia_commons/images/IT/ns6/12/File:Via giusti discesa velardo.jpeg,2.8874447
"data/processed/wikimedia_commons/images/UK/ns6/404/File:Talgarth Rd, London - geograph.org.uk - 2059036.jpeg",2.3132288
